wikidata	wg	external_name	external_short	external_wikidata	external_locale	external_link	external_type	source	curator	curation_date	comment	mediator(s)
Q141133957	Overall Architecture	Deutsches Netzwerk für Bioinformatik-Infrastruktur	de.NBI	Q61705390	DE	https://www.denbi.de		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133957	Overall Architecture	ELIXIR		Q12269561	Europe	https://elixir-europe.org	organization	charter	orcid:0000-0003-4423-4370	2026-08-25
Q141133957	Overall Architecture	Deutsches Forschungsnetzwerk	DFN		DE	https://www.dfn.de/	organization	charter	orcid:0000-0003-4423-4370	2026-08-25
Q141133957	Overall Architecture	European Grid Initiative	EGI		Europe	https://egi.eu		charter	orcid:0000-0003-4423-4370	2026-08-25
Q141133957	Overall Architecture	Gigabit European Academic Network	GÉANT		Europe	https://geant.org/	organization	charter	orcid:0000-0003-4423-4370	2026-08-25
Q141133957	Overall Architecture	The Software Heritage				https://www.softwareheritage.org/		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133957	Overall Architecture	Verbund für Nationales Hochleistungsrechnen	NHR		DE	https://www.nhr-verein.de/		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	DataCite		Q821542		https://www.datacite.org/		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	DOI foundation		Q11713409		https://www.doi.org/the-foundation/about-us/		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	Persistent Identifier Consortium for eResearch	ePIC	Q97246427	Europe	http://www.pidconsortium.eu		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	ORCiD Registry		Q123508757		https://orcid.org	data resource	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	Research Organization Registry	ROR	Q110235640		https://ror.org	data resource	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	Gemeinsame Normdatei	GND	Q36578	DE	https://lobid.org	data resource	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	Virtual International Authority File	VIAF	Q54919		http://viaf.org	data resource	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	PID Graph				https://project-freya.eu/the-pid-graph.html	data resource	charter	orcid:0000-0003-4423-4370	2026-08-25	develiped by EU funded project FREYA	
Q141133958	Persistent Identifiers	Connected Open Identifiers for Discovery, Access and Use of Research Resources	FREYA	Q56448057		https://project-freya.eu	project	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	CAU Kiel			DE	https://www.uni-kiel.de		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	Data Infrastructure Capacity for EOSC	DICE	Q122222426	Europe	https://www.dice-eosc.eu/		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	Core Components Supporting a FAIR EOSC	FAIRCORE4EOSC	Q122222583	Europe	https://faircore4eosc.eu		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133958	Persistent Identifiers	Research Data Alliance	RDA	Q25338539	International	https://www.rd-alliance.org/	organization	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	Deutsche Initiative für Netzwerkinformation e.V.	DINI/Nestor	Q1203152	DE	https://dini.de		charter	orcid:0000-0003-4423-4370	2026-08-25		
